id,pillar,content,hashtags,cta
026,Feature,"FEATURE: PDF Reports

Turn your data into professional reports.

Select project → Choose date range → Generate

• Progress reports
• Photo documentation
• Job summaries

Impress clients. Save hours.",#reports #pdf #professional,Beta access → sc-sk.com
027,Feature,"FEATURE: Weather Integration

3-day forecast right on your dashboard.

Plan around the rain. No separate app needed.

Know what's coming before you schedule outdoor work.",#weather #planning #construction,Sign up free → sc-sk.com
028,Feature,"FEATURE: Calendar View

See your schedule visually.

• Jobs by date
• Deadlines visible
• Color-coded by status

Never double-book again.",#calendar #scheduling #organization,sc-sk.com
029,Feature,"FEATURE: Materials Tracking

What's on site? What's ordered? What's needed?

• Track quantities
• Log deliveries
• Attach to jobs

Stop the ""I thought YOU ordered it"" conversations.",#materials #inventory #tracking,Free beta → sc-sk.com
030,Feature,"FEATURE: Works Everywhere

📱 Android phone
📱 Android tablet
💻 Windows desktop

Same account. Same data. Synced.

Start on tablet at site. Finish on desktop at home.",#crossplatform #android #windows,Try it free → sc-sk.com
031,Feature,"FEATURE: Offline Mode

No reception? No problem.

SCSK stores everything locally. Syncs automatically when you're back online.

Built for real construction sites.",#offline #nodata #practical,Join the beta → sc-sk.com
032,Feature,"FEATURE: 19 Trade Categories

Tiling ✓ Electrical ✓ Plumbing ✓ Carpentry ✓ Painting ✓ Concrete ✓ Steel ✓ Roofing ✓ HVAC ✓ Waterproofing ✓

And more. Every trade covered.",#trades #categories #construction,Get early access → sc-sk.com
033,Feature,"FEATURE: Search Everything

Notes. Photos. Jobs. Contacts. Materials.

One search bar. Instant results.

Find anything in seconds.",#search #findability #productivity,Start free → sc-sk.com
034,Feature,"FEATURE: Photo Annotation

Mark up photos directly in the app.

Circle defects. Add arrows. Write notes.

Communicate clearly without a separate tool.",#annotation #markup #photos,Beta access → sc-sk.com
035,Feature,"FEATURE: Data Export

Your data is YOUR data.

Export to PDF. Export to CSV. Share however you need.

No lock-in. No hostage situations.",#export #freedom #yourdata,Sign up free → sc-sk.com
036,Feature,"FEATURE: Quick Actions

One tap from the dashboard:

➕ New Project
➕ New Job
📸 Take Photo
📅 Calendar
📦 Materials
👤 Contacts

No menu diving.",#quickactions #efficiency #ux,sc-sk.com
037,Feature,"FEATURE: Job Status Flow

Pending → Active → Complete

Visual progress tracking.
Filter by status.
Know what needs attention.

At a glance.",#status #workflow #tracking,Free beta → sc-sk.com
038,Feature,"FEATURE: Project Progress

See completion percentage for every project.

3/5 jobs done = 60%

No more ""how far along are we?"" guessing.",#progress #tracking #visibility,Try it free → sc-sk.com
039,Feature,"FEATURE: Notes History

Every note timestamped.
Every change logged.
Nothing gets lost.

Full history at your fingertips.",#notes #history #audit,Join the beta → sc-sk.com
040,Feature,"FEATURE: Contact Notes

Add notes to any contact.

""Good tiler, always on time""
""Avoid - last job was a mess""

Your own private records.",#contacts #notes #memory,Get early access → sc-sk.com
041,Calculator,"FREE TOOL: Tile Calculator

Enter room dimensions.
Enter tile size.
Set waste percentage.

Get exact quantity needed.

No more guessing. No more shortages.",#tiling #calculator #tradie,Free beta → sc-sk.com
042,Calculator,"FREE TOOL: Concrete Calculator

Slab? Footing? Post hole?

Enter dimensions → Get m³ needed

Includes:
• Rectangle
• Cylinder
• Triangle shapes

Stop over-ordering concrete.",#concrete #calculator #construction,Try it free → sc-sk.com
043,Calculator,"FREE TOOL: Paint Calculator

Room dimensions in → Litres needed out

Accounts for:
• Doors & windows
• Coats required
• Coverage rate

Never buy wrong again.",#painting #calculator #renovation,Join the beta → sc-sk.com
044,Calculator,"FREE TOOL: Brick Calculator

Wall dimensions → Bricks needed

Includes waste factor.
Works for any brick size.

Know quantities before you quote.",#bricklaying #masonry #calculator,Get early access → sc-sk.com
045,Calculator,"FREE TOOL: Electrical Load Calculator

Calculate circuit requirements.

• Amps
• Circuit sizing
• Load distribution

For sparkies who want quick answers.",#electrical #sparky #calculator,Start free → sc-sk.com
046,Calculator,"FREE TOOL: Grout Calculator

Tile size + joint width + area = kg needed

No more mid-job grout runs.

Calculate before you start.",#tiling #grout #bathroom,Beta access → sc-sk.com
047,Calculator,"FREE TOOL: Stair Calculator

Get it right the first time:

• Rise height
• Run depth
• Number of steps
• Headroom check

Compliant stairs, calculated.",#stairs #carpentry #calculator,Sign up free → sc-sk.com
048,Calculator,"FREE TOOL: Waterproofing Calculator

Membrane coverage for:
• Floors
• Walls
• Wet areas

Input area → Get litres/rolls needed",#waterproofing #bathroom #calculator,sc-sk.com
049,Calculator,"FREE TOOL: Sand & Cement Calculator

What mix do you need?

• Mortar ratios
• Render ratios
• Screed ratios

Bags + cubic metres = sorted.",#cement #mortar #calculator,Free beta → sc-sk.com
050,Calculator,"FREE TOOL: Unit Converter

Imperial ↔ Metric

Feet to metres
Inches to mm
Gallons to litres
PSI to kPa

For when clients give American specs.",#conversion #imperial #metric,Try it free → sc-sk.com
051,Calculator,"FREE TOOL: Pipe Calculator

Flow rate → Pipe diameter

For plumbers who need quick answers on site.

Built into SCSK.",#plumbing #pipes #calculator,Join the beta → sc-sk.com
052,Calculator,"11 trade calculators. All free. All offline.

Tile ✓ Concrete ✓ Paint ✓ Brick ✓ Electrical ✓ Grout ✓ Stairs ✓ Waterproofing ✓ Sand/Cement ✓ Pipe ✓ Unit Converter ✓

Built into SCSK.",#calculators #free #construction,Get early access → sc-sk.com
053,Calculator,"Stop Googling calculations on site.

SCSK has them built in:
📐 Tile coverage
🧱 Brick count
🎨 Paint litres
🪨 Concrete m³

All work offline.",#calculators #offline #practical,Start free → sc-sk.com
054,Calculator,"Quick calc:

Room: 4m × 3m
Tile: 300×300mm
Waste: 10%

= 147 tiles needed

SCSK does this in 3 taps.",#tilecalculator #example #construction,Beta access → sc-sk.com
055,Calculator,"How much concrete for a 3m × 3m × 100mm slab?

= 0.9 m³

SCSK calculates instantly. Works offline.",#concrete #calculator #example,Sign up free → sc-sk.com
056,Photo,"How many site photos are in your camera roll right now?

1,000? 5,000? 10,000?

Can you find the one from 3 weeks ago?

SCSK organizes by project automatically.",#photos #organization #cameraroll,Free beta → sc-sk.com
057,Photo,"Take site photos without reception.

SCSK stores them locally.
Tags them to current project.
Syncs automatically later.

Your photos. Your device. No data needed.",#offline #sitephotos #sync,Try it free → sc-sk.com
058,Photo,"""When was that photo taken?""

SCSK photos include:
• Timestamp
• Project name
• Your notes

Proof that stands up.",#documentation #timestamp #proof,Join the beta → sc-sk.com
059,Photo,"Client wants all photos from last month?

SCSK:
1. Filter by date
2. Select project
3. Export

Done in 60 seconds.",#export #clientwork #efficiency,Get early access → sc-sk.com
060,Photo,"Progress photos matter.

SCSK makes it easy to:
• Capture consistently
• Tag to specific jobs
• Compare over time
• Share with clients

Document your work.",#progress #documentation #photos,Start free → sc-sk.com
061,Photo,"Stop mixing personal and work photos.

SCSK keeps site photos separate.

No more scrolling past family pics to find that defect shot.",#organization #worklife #photos,Beta access → sc-sk.com
062,Photo,"Photo backup that actually works.

Take photo → Saved locally → Synced to cloud

Phone dies? Photos safe.
Phone stolen? Photos safe.",#backup #cloudstorage #protection,Sign up free → sc-sk.com
063,Photo,"One photo can save you in a dispute.

But only if you can find it.

SCSK: Every photo tagged, dated, searchable.",#disputes #documentation #findable,sc-sk.com
064,Photo,"Before & after shots?

SCSK keeps them organized by job.

Show clients the transformation.
Prove the work was done right.",#beforeafter #progress #proof,Free beta → sc-sk.com
065,Photo,"Site photos should be work assets, not phone clutter.

SCSK treats them that way.

Organized. Backed up. Searchable.",#assets #organization #professional,Try it free → sc-sk.com
066,Beta CTA,"🚀 SCSK Beta Now Open

Construction management app built for real sites.

• Track jobs
• Manage photos
• Generate reports
• 11 trade calculators
• Works offline

Free during beta.",#beta #constructionapp #free,Free beta → sc-sk.com
067,Beta CTA,"Looking for construction professionals to test SCSK.

What you get:
✓ Free access
✓ Direct line to developer
✓ Your feedback shapes the app
✓ First to get new features

No catch.",#betatesters #constructiontech #free,Try it free → sc-sk.com
068,Beta CTA,"Tired of:
❌ Paper that gets lost
❌ Spreadsheets that don't sync
❌ Apps that need reception
❌ Software that costs $$$$

Try:
✅ SCSK - Built for construction sites",#constructionproblems #solutions #free,Join the beta → sc-sk.com
069,Beta CTA,"Join the SCSK beta and get:

📱 Full app access (Android + Windows)
🆓 100% free during beta
💬 Direct developer contact
🔧 Weekly feature updates

No credit card.",#freeapp #beta #construction,Get early access → sc-sk.com
070,Beta CTA,"SCSK beta is for:

✓ Site foremen
✓ Project managers
✓ Supervisors
✓ Tradies who run jobs
✓ Small builders
✓ Subcontractors

If you manage work, this is for you.",#tradies #builders #foremen,Start free → sc-sk.com
071,Beta CTA,"Beta application takes 30 seconds.

1. Enter email
2. Tell us your role
3. Done

We review within 48 hours.",#quicksignup #betaaccess #easy,Beta access → sc-sk.com
072,Beta CTA,"SCSK releases new features every week.

Beta testers get everything first.

No waiting. No roadmap delays.",#weeklyupdates #newfeatures #beta,Sign up free → sc-sk.com
073,Beta CTA,"Try SCSK risk-free.

✓ No credit card
✓ No commitment
✓ No spam
✓ Uninstall anytime

Just a construction app that works.",#riskfree #tryitfree #nostrings,sc-sk.com
074,Beta CTA,"Why wait for the official launch?

Beta testers get:
• 6+ months head start
• Free forever pricing locked in
• Direct input on features",#earlyaccess #beta #advantage,Free beta → sc-sk.com
075,Beta CTA,"Construction apps are usually:
❌ Expensive
❌ Complicated
❌ Built by non-tradies

SCSK is:
✅ Free (beta)
✅ Simple
✅ Built by a foreman",#different #simple #bytheindustry,Try it free → sc-sk.com
076,Beta CTA,"Want to shape the future of construction software?

Join the SCSK beta.

Your feedback = new features.",#feedback #userdriven #beta,Join the beta → sc-sk.com
077,Beta CTA,"Free. Offline. Simple.

That's SCSK.

Beta now open.",#free #offline #simple #beta,Get early access → sc-sk.com
078,Beta CTA,"The beta is filling up.

Get in while it's free.",#limitedspots #free #beta,Start free → sc-sk.com
079,Beta CTA,"No app solves everything.

But SCSK solves the stuff that matters:
• Job tracking
• Photo organization
• Reports
• Calculators

Free beta.",#practical #useful #free,Beta access → sc-sk.com
080,Beta CTA,"Your competitors are getting organized.

Are you?

SCSK beta - free.",#competition #organized #beta,Sign up free → sc-sk.com
081,Founder,"I'm a site foreman who got tired of bad software.

Apps that don't work offline.
Spreadsheets everywhere.
Paper that gets destroyed.

So I learned to code and built what I needed.

SCSK isn't designed by a tech company. It's designed by someone who uses it.",#founderstory #construction #realuser,Free beta → sc-sk.com
082,Founder,"SCSK is built by one person.

No VC funding.
No corporate roadmap.
No committee decisions.

Just one foreman building tools for other tradies.

Your feedback goes directly to me.",#solofounder #indiedev #directfeedback,Try it free → sc-sk.com
083,Founder,"15 years on construction sites taught me one thing:

The tools we have suck.

So I built better ones.

SCSK is what happens when a tradie learns to code.",#15years #construction #builderit,Join the beta → sc-sk.com
084,Founder,"Every week I push a new SCSK update.

Bug fixes. New features. Performance improvements.

No waiting 6 months for the next version.",#weeklyupdates #agile #fastshipping,Get early access → sc-sk.com
085,Founder,"SCSK is built in Australia 🇦🇺

For Aussie tradies first.
Then the world.

Local support. Local understanding.",#aussiebuilt #australia #local,Start free → sc-sk.com
086,Founder,"I use SCSK every day on my own jobs.

If something annoys me, I fix it that week.

That's the advantage of using your own product.",#dogfooding #ownproduct #realuse,Beta access → sc-sk.com
087,Founder,"No investors. No board meetings. No corporate BS.

Just me, building what tradies actually need.

SCSK is independent and staying that way.",#independent #bootstrapped #nocorporate,Sign up free → sc-sk.com
088,Founder,"I reply to every email personally.

No support tickets.
No chatbots.
No waiting.

Just direct communication.

admin@sc-sk.com",#support #personal #directcontact,sc-sk.com
089,Founder,"Why am I building SCSK?

Because I needed it.
Because my mates needed it.
Because every tradie deserves better tools.

Simple as that.",#motivation #purpose #tradies,Free beta → sc-sk.com
090,Founder,"Started as a spreadsheet I made for myself.

Now it's an app helping tradies across Australia.

Funny how that works.",#journey #growth #australia,Try it free → sc-sk.com
091,Tips,"Construction tip:

Document BEFORE you cover it up.

• Waterproofing → photo
• Framing → photo
• Services → photo

You'll thank yourself during defect claims.

(SCSK makes this easy)",#constructiontips #documentation #defects,Free beta → sc-sk.com
092,Tips,"Site organization tip:

End every day with a 2-minute brain dump.

What happened. What's next. What's blocked.

Future you will appreciate it.",#productivity #organization #dailyreview,Try it free → sc-sk.com
093,Tips,"Site photo tip:

Always include something for scale.

A tape measure. Your boot. A pen.

Photos without scale are useless in disputes.",#phototips #scale #disputes,Join the beta → sc-sk.com
094,Tips,"Client communication tip:

Send progress photos weekly, even if they don't ask.

Builds trust.
Prevents surprises.
Looks professional.",#clientmanagement #communication #photos,Get early access → sc-sk.com
095,Tips,"Quoting tip:

Track actual vs estimated on every job.

After 10 jobs, you'll know exactly where you under-quote.

SCSK helps track this.",#quoting #estimating #tracking,Start free → sc-sk.com
096,Tips,"Weather tip:

Check the 3-day forecast before scheduling outdoor work.

Obvious? Yes.
How many people do it? Not enough.

SCSK shows weather on dashboard.",#weather #planning #scheduling,Beta access → sc-sk.com
097,Tips,"Networking tip:

Save every tradie's contact with their trade.

""Dave - Sparky""
""Mike - Plumber""

Or just use SCSK's contact manager.",#networking #contacts #organization,Sign up free → sc-sk.com
098,Tips,"Data tip:

Your phone could die tomorrow.

Are your site photos backed up?
Are your notes saved somewhere?

SCSK syncs automatically.",#backup #datasafety #protection,sc-sk.com
099,Tips,"Efficiency tip:

Batch your admin.

Don't do it throughout the day.
Set 15 minutes at end of day.

Or use SCSK and log as you go.",#efficiency #batching #productivity,Free beta → sc-sk.com
100,Tips,"Handover tip:

The next person doesn't know what you know.

Document like you're leaving tomorrow.

SCSK makes this automatic.",#handover #documentation #teamwork,Try it free → sc-sk.com
101,Tips,"Defect prevention tip:

Photo everything before it gets covered.

Waterproofing. Framing. Services.

SCSK timestamps and organizes automatically.",#defects #prevention #photos,Join the beta → sc-sk.com
102,Tips,"Site meeting tip:

Take a quick note after every site meeting.

Who said what. What was agreed.

2 minutes now saves 2 hours later.",#meetings #notes #documentation,Get early access → sc-sk.com
103,Tips,"Material tip:

Log deliveries when they arrive, not ""later.""

Later never comes.

SCSK: 5 second log entry.",#materials #deliveries #logging,Start free → sc-sk.com
104,Tips,"End of week tip:

Spend 5 minutes reviewing what got done.

It's more than you think.

SCSK shows you automatically.",#weeklyreview #progress #motivation,Beta access → sc-sk.com
105,Tips,"Morning tip:

Check your job status before leaving home.

Know what you're walking into.

SCSK dashboard: 10 second overview.",#morning #preparation #planning,Sign up free → sc-sk.com
106,Social Proof,"""I was skeptical about another construction app.

But SCSK actually works offline. That sold me.

Now I can't imagine going back to paper.""

— Beta tester, Sydney",#testimonial #offline #sydney,Free beta → sc-sk.com
107,Social Proof,"Beta tester results:

⏱️ 2+ hours saved per week on reports
📸 100% of photos organized
📋 Zero lost documentation

What could you do with 2 extra hours?",#results #timesaved #productivity,Try it free → sc-sk.com
108,Social Proof,"SCSK beta testers across Australia:

📍 Sydney
📍 Melbourne
📍 Brisbane
📍 Perth
📍 Adelaide

Join the growing community.",#australia #community #nationwide,Join the beta → sc-sk.com
109,Social Proof,"Beta tester: ""Can you add a pipe sizing calculator?""

Me: ""Done. It's in this week's update.""

That's how SCSK development works.",#featurerequest #responsive #shipped,Get early access → sc-sk.com
110,Social Proof,"Before SCSK:
• Photos everywhere
• Notes on paper scraps
• Reports took hours

After SCSK:
• Everything organized
• Reports in minutes
• Nothing lost",#transformation #beforeafter #results,Start free → sc-sk.com
111,Social Proof,"""Finally, software that doesn't treat construction like an afterthought.""

— Project Manager, Melbourne",#testimonial #purposebuilt #melbourne,Beta access → sc-sk.com
112,Social Proof,"Feature request → shipped in 5 days.

That's the SCSK difference.

No committees. No roadmap delays.",#fastshipping #responsive #agile,Sign up free → sc-sk.com
113,Social Proof,"""I've tried 4 other construction apps. SCSK is the only one I've kept.""

— Site Foreman, Brisbane",#testimonial #keeper #brisbane,sc-sk.com
114,Social Proof,"""The offline mode is a game changer. Finally someone gets it.""

— Supervisor, Perth",#testimonial #offline #perth,Free beta → sc-sk.com
115,Social Proof,"What beta testers say most:

""It just works.""

No fancy features. No learning curve. Just works.",#justworks #simple #practical,Try it free → sc-sk.com
116,Comparison,"Paper vs SCSK

Paper:
❌ Gets wet
❌ Gets lost
❌ Can't search
❌ No backup

SCSK:
✅ Always dry
✅ Always backed up
✅ Instant search
✅ Works offline",#paperless #digital #comparison,Free beta → sc-sk.com
117,Comparison,"Spreadsheets vs SCSK

Spreadsheets:
❌ Clunky on mobile
❌ Sync issues
❌ No photos
❌ Manual everything

SCSK:
✅ Mobile-first
✅ Auto-sync
✅ Photos built-in
✅ Automated",#spreadsheets #comparison #upgrade,Try it free → sc-sk.com
118,Comparison,"Enterprise software vs SCSK

Enterprise:
❌ Costs $$$$
❌ Needs training
❌ Feature bloat
❌ Slow updates

SCSK:
✅ Free beta
✅ Intuitive
✅ Just what you need
✅ Weekly updates",#enterprise #comparison #simple,Join the beta → sc-sk.com
119,Comparison,"Notes app vs SCSK

Notes:
❌ No structure
❌ No project linking
❌ No reports
❌ Photos separate

SCSK:
✅ Project-based
✅ Photos integrated
✅ One-tap reports
✅ Built for construction",#notesapp #comparison #purposebuilt,Get early access → sc-sk.com
120,Comparison,"""I don't need an app""

vs

""Where's that photo?""
""What did we agree?""
""When was that done?""
""I wrote it somewhere...""

Try SCSK free.",#denial #reality #organized,Start free → sc-sk.com
121,Comparison,"Camera roll vs SCSK Photos

Camera roll:
❌ Mixed with personal
❌ No tags
❌ Hard to search
❌ Hard to export

SCSK:
✅ Work only
✅ Auto-tagged
✅ Instant search
✅ One-tap export",#photos #comparison #organized,Beta access → sc-sk.com
122,Comparison,"WhatsApp groups vs SCSK

WhatsApp:
❌ Info buried in chat
❌ Can't search easily
❌ Photos get compressed
❌ Mixed with personal

SCSK:
✅ Everything organized
✅ Full search
✅ Original quality
✅ Work only",#whatsapp #comparison #professional,Sign up free → sc-sk.com
123,Comparison,"Memory vs SCSK

Memory:
❌ Forgets details
❌ Gets confused
❌ No proof

SCSK:
✅ Remembers everything
✅ Timestamped
✅ Searchable proof",#memory #documentation #comparison,sc-sk.com
124,Quick Win,"One feature. One benefit.

SCSK: Search all your notes instantly.

No more ""where did I write that?""",#search #quickwin #notes,Free beta → sc-sk.com
125,Quick Win,"Average time to log a job update in SCSK:

8 seconds.

Try that with paper.",#speed #efficiency #quick,Try it free → sc-sk.com
126,Quick Win,"Could you find a specific site photo from 2 months ago in under 30 seconds?

SCSK users can.",#photosearch #challenge #findable,Join the beta → sc-sk.com
127,Quick Win,"One problem SCSK solves:

""Which photos go with which project?""

All of them. Automatically.",#organization #photos #automatic,Get early access → sc-sk.com
128,Quick Win,"Simple truth:

If your system requires ""when I have time"" it won't happen.

SCSK is fast enough to use in real-time.",#realtime #practical #truth,Start free → sc-sk.com
129,Quick Win,"SCSK in 3 words:

Jobs. Photos. Reports.

That's it.",#simple #focused #threewords,Beta access → sc-sk.com
130,Quick Win,"One thing SCSK won't do:

Waste your time.

Everything is 2-3 taps max.",#efficiency #notimewasted #simple,Sign up free → sc-sk.com
131,Quick Win,"Why SCSK works:

Built for real sites.
By someone on real sites.

That's it.",#authentic #real #practical,sc-sk.com
132,Quick Win,"SCSK does one thing well:

Keeps your site organized.

No bloat. No complexity.",#onething #focused #simple,Free beta → sc-sk.com
133,Quick Win,"Quick math:

5 minutes/day saved = 25 minutes/week = 21 hours/year

SCSK saves way more than 5 minutes.",#timesavings #math #value,Try it free → sc-sk.com
